Time: 16.526331901550293

Number of clusters: 25978
Cluster 710: 0 instances 
Cluster 711: 0 instances 
Cluster 712: 0 instances 
Cluster 713: 0 instances 
Cluster 714: 0 instances 
Cluster 715: 0 instances 
Cluster 716: 0 instances 
Cluster 717: 0 instances 
Cluster 718: 0 instances 
Cluster 719: 0 instances 
Cluster 720: 0 instances 
Cluster 721: 0 instances 
Cluster 722: 0 instances 
Cluster 723: 0 instances 
Cluster 724: 0 instances 
Cluster 725: 0 instances 
Cluster 726: 0 instances 
Cluster 727: 0 instances 
Cluster 728: 0 instances 
Cluster 729: 0 instances 
Cluster 730: 0 instances 
Cluster 731: 0 instances 
Cluster 732: 0 instances 
Cluster 733: 0 instances 
Cluster 734: 0 instances 
Cluster 735: 0 instances 
Cluster 736: 0 instances 
Cluster 737: 0 instances 
Cluster 738: 0 instances 
Cluster 739: 0 instances 
Cluster 740: 0 instances 
Cluster 741: 0 instances 
Cluster 742: 0 instances 
Cluster 743: 0 instances 
Cluster 744: 0 instances 
Cluster 745: 0 instances 
Cluster 746: 0 instances 
Cluster 747: 0 instances 
Cluster 748: 0 instances 
Cluster 749: 0 instances 
Cluster 750: 0 instances 
Cluster 751: 0 instances 
Cluster 752: 0 instances 
Cluster 753: 0 instances 
Cluster 754: 0 instances 
Cluster 755: 0 instances 
Cluster 756: 0 instances 
Cluster 757: 0 instances 
Cluster 758: 0 instances 
Cluster 759: 0 instances 
Cluster 760: 0 instances 
Cluster 761: 0 instances 
Cluster 762: 0 instances 
Cluster 763: 0 instances 
Cluster 764: 0 instances 
Cluster 765: 0 instances 
Cluster 766: 0 instances 
Cluster 767: 0 instances 
Cluster 768: 0 instances 
Cluster 769: 0 instances 
Cluster 770: 0 instances 
Cluster 771: 0 instances 
Cluster 772: 0 instances 
Cluster 773: 0 instances 
Cluster 774: 0 instances 
Cluster 775: 0 instances 
Cluster 776: 0 instances 
Cluster 777: 0 instances 
Cluster 778: 0 instances 
Cluster 779: 0 instances 
Cluster 780: 0 instances 
Cluster 781: 0 instances 
Cluster 782: 0 instances 
Cluster 783: 0 instances 
Cluster 784: 0 instances 
Cluster 785: 0 instances 
Cluster 786: 0 instances 
Cluster 787: 0 instances 
Cluster 788: 0 instances 
Cluster 789: 0 instances 
Cluster 790: 0 instances 
Cluster 791: 0 instances 
Cluster 792: 0 instances 
Cluster 793: 0 instances 
Cluster 794: 0 instances 
Cluster 795: 0 instances 
Cluster 796: 0 instances 
Cluster 797: 0 instances 
Cluster 798: 0 instances 
Cluster 799: 0 instances 
Cluster 800: 0 instances 
Cluster 801: 0 instances 
Cluster 802: 0 instances 
Cluster 803: 0 instances 
Cluster 804: 0 instances 
Cluster 805: 0 instances 
Cluster 806: 0 instances 
Cluster 807: 0 instances 
Cluster 808: 0 instances 
Cluster 809: 0 instances 
Cluster 810: 0 instances 
Cluster 811: 0 instances 
Cluster 812: 0 instances 
Cluster 813: 0 instances 
Cluster 814: 0 instances 
Cluster 815: 0 instances 
Cluster 816: 0 instances 
Cluster 817: 0 instances 
Cluster 818: 0 instances 
Cluster 819: 0 instances 
Cluster 820: 0 instances 
Cluster 821: 0 instances 
Cluster 822: 0 instances 
Cluster 823: 0 instances 
Cluster 824: 0 instances 
Cluster 825: 0 instances 
Cluster 826: 0 instances 
Cluster 827: 0 instances 
Cluster 828: 0 instances 
Cluster 829: 0 instances 
Cluster 830: 0 instances 
Cluster 831: 0 instances 
Cluster 832: 0 instances 
Cluster 833: 0 instances 
Cluster 834: 0 instances 
Cluster 835: 0 instances 
Cluster 836: 0 instances 
Cluster 837: 0 instances 
Cluster 838: 0 instances 
Cluster 839: 0 instances 
Cluster 840: 0 instances 
Cluster 841: 0 instances 
Cluster 842: 0 instances 
Cluster 843: 0 instances 
Cluster 844: 0 instances 
Cluster 845: 0 instances 
Cluster 846: 0 instances 
Cluster 847: 0 instances 
Cluster 848: 0 instances 
Cluster 849: 0 instances 
Cluster 850: 0 instances 
Cluster 851: 0 instances 
Cluster 852: 0 instances 
Cluster 853: 0 instances 
Cluster 854: 0 instances 
Cluster 855: 0 instances 
Cluster 856: 0 instances 
Cluster 857: 0 instances 
Cluster 858: 0 instances 
Cluster 859: 0 instances 
Cluster 860: 0 instances 
Cluster 861: 0 instances 
Cluster 862: 0 instances 
Cluster 863: 0 instances 
Cluster 864: 0 instances 
Cluster 865: 0 instances 
Cluster 866: 0 instances 
Cluster 867: 0 instances 
Cluster 868: 0 instances 
Cluster 869: 0 instances 
Cluster 870: 0 instances 
Cluster 871: 0 instances 
Cluster 872: 0 instances 
Cluster 873: 0 instances 
Cluster 874: 0 instances 
Cluster 875: 0 instances 
Cluster 876: 0 instances 
Cluster 877: 0 instances 
Cluster 878: 0 instances 
Cluster 879: 0 instances 
Cluster 880: 0 instances 
Cluster 881: 0 instances 
Cluster 882: 0 instances 
Cluster 883: 0 instances 
Cluster 884: 0 instances 
Cluster 885: 0 instances 
Cluster 886: 0 instances 
Cluster 887: 0 instances 
Cluster 888: 0 instances 
Cluster 889: 0 instances 
Cluster 890: 0 instances 
Cluster 891: 0 instances 
Cluster 892: 0 instances 
Cluster 893: 0 instances 
Cluster 894: 0 instances 
Cluster 895: 0 instances 
Cluster 896: 0 instances 
Cluster 897: 0 instances 
Cluster 898: 0 instances 
Cluster 899: 0 instances 
Cluster 900: 0 instances 
Cluster 901: 0 instances 
Cluster 902: 0 instances 
Cluster 903: 0 instances 
Cluster 904: 0 instances 
Cluster 905: 0 instances 
Cluster 906: 0 instances 
Cluster 907: 0 instances 
Cluster 908: 0 instances 
Cluster 909: 0 instances 
Cluster 910: 0 instances 
Cluster 911: 0 instances 
Cluster 912: 0 instances 
Cluster 913: 0 instances 
Cluster 914: 0 instances 
Cluster 915: 0 instances 
Cluster 916: 0 instances 
Cluster 917: 0 instances 
Cluster 918: 0 instances 
Cluster 919: 0 instances 
Cluster 920: 0 instances 
Cluster 921: 0 instances 
Cluster 922: 0 instances 
Cluster 923: 0 instances 
Cluster 924: 0 instances 
Cluster 925: 0 instances 
Cluster 926: 0 instances 
Cluster 927: 0 instances 
Cluster 928: 0 instances 
Cluster 929: 0 instances 
Cluster 930: 0 instances 
Cluster 931: 0 instances 
Cluster 932: 0 instances 
Cluster 933: 0 instances 
Cluster 934: 0 instances 
Cluster 935: 0 instances 
Cluster 936: 0 instances 
Cluster 937: 0 instances 
Cluster 938: 0 instances 
Cluster 939: 0 instances 
Cluster 940: 0 instances 
Cluster 941: 0 instances 
Cluster 942: 0 instances 
Cluster 943: 0 instances 
Cluster 944: 0 instances 
Cluster 945: 0 instances 
Cluster 946: 0 instances 
Cluster 947: 0 instances 
Cluster 948: 0 instances 
Cluster 949: 0 instances 
Cluster 950: 0 instances 
Cluster 951: 0 instances 
Cluster 952: 0 instances 
Cluster 953: 0 instances 
Cluster 954: 0 instances 
Cluster 955: 0 instances 
Cluster 956: 0 instances 
Cluster 957: 0 instances 
Cluster 958: 0 instances 
Cluster 959: 0 instances 
Cluster 960: 0 instances 
Cluster 961: 0 instances 
Cluster 962: 0 instances 
Cluster 963: 0 instances 
Cluster 964: 0 instances 
Cluster 965: 0 instances 
Cluster 966: 0 instances 
Cluster 967: 0 instances 
Cluster 968: 0 instances 
Cluster 969: 0 instances 
Cluster 970: 0 instances 
Cluster 971: 0 instances 
Cluster 972: 0 instances 
Cluster 973: 0 instances 
Cluster 974: 0 instances 
Cluster 975: 0 instances 
Cluster 976: 0 instances 
Cluster 977: 0 instances 
Cluster 978: 0 instances 
Cluster 979: 0 instances 
Cluster 980: 0 instances 
Cluster 981: 0 instances 
Cluster 982: 0 instances 
Cluster 983: 0 instances 
Cluster 984: 0 instances 
Cluster 985: 0 instances 
Cluster 986: 0 instances 
Cluster 987: 0 instances 
Cluster 988: 0 instances 
Cluster 989: 0 instances 
Cluster 990: 0 instances 
